YEAR_MONTH_DAY,ID,lat,lon,depth,temp,NO3,Si4,PO4,chl,alpha,PBmax,region,Ek,date,month,sst,kd_490,Zeu,sat_par,longhurst,basin,biome,daylength,E_surf,Ez,PB
1998-07-06,5,57.28,-50.9,3.0,6.1,,,,,0.009219,1.785,2,193.621867881549,1998-07-04,7,5.80999755859375,,,,2.0,2.0,2.0,17.504419922425633,,,
1998-07-08,5,56.17,-52.98,3.0,8.2,,,,,0.01367425,2.42,2,176.974971205002,1998-07-06,7,6.8699951171875,,,37.641998291015625,2.0,2.0,2.0,17.178200603730108,608.6848603993349,,
1998-06-26,5,44.83,-63.27,40.0,1.1,0.64,0.28,0.53,,0.011834,1.24,15,104.782829136387,1998-06-24,6,,,,,15.0,2.0,1.0,15.40404828735563,,,
1998-06-26,5,44.83,-63.27,10.0,11.5,0.36,0.24,0.32,,0.01930725,5.0,15,258.970076007717,1998-06-24,6,,,,,15.0,2.0,1.0,15.40404828735563,,,
1998-06-27,5,49.85,-58.71,50.0,-0.7,5.34,2.26,0.9,,0.0462255,1.17,15,25.3107051302852,1998-06-25,6,10.579986572265625,,,60.95000076293945,15.0,2.0,1.0,16.120232814266856,1050.267447285201,,
1998-06-27,5,49.85,-58.71,10.0,9.5,0.33,0.24,0.37,,0.0492045,7.18,15,145.921612860612,1998-06-25,6,10.579986572265625,,,60.95000076293945,15.0,2.0,1.0,16.120232814266856,1050.267447285201,,
1998-06-29,5,55.11,-54.13,30.0,3.3,,,,,0.02107775,2.74,2,129.994899835134,1998-06-27,6,3.769989013671875,,,25.869998931884766,2.0,2.0,2.0,17.105944842582762,420.0943520245463,,
1998-06-29,5,55.11,-54.13,10.0,4.4,,,,,0.01136325,3.3,2,290.409873935714,1998-06-27,6,3.769989013671875,,,25.869998931884766,2.0,2.0,2.0,17.105944842582762,420.0943520245463,,
1998-06-30,5,55.61,-53.63,20.0,6.2,0.29,0.82,0.18,,0.0228615,2.76,2,120.726986418214,1998-06-28,6,5.44000244140625,,,20.747997283935547,2.0,2.0,2.0,17.20939145694041,334.89461805151046,,
1998-06-30,5,55.61,-53.63,10.0,6.5,0.0,0.63,0.14,,0.0218385,5.9,2,270.165075440163,1998-06-28,6,5.44000244140625,,,20.747997283935547,2.0,2.0,2.0,17.20939145694041,334.89461805151046,,
1998-07-02,5,56.78,-52.89,30.0,6.1,2.61,0.57,0.26,,0.00970225,2.165,2,223.144116055554,1998-06-30,6,4.709991455078125,,,33.75199890136719,2.0,2.0,2.0,17.46389437503178,536.8536392308953,,
1998-07-02,5,56.78,-52.89,10.0,6.3,2.61,0.46,0.25,,0.00871525,1.99,2,228.335389116778,1998-06-30,6,4.709991455078125,,,33.75199890136719,2.0,2.0,2.0,17.46389437503178,536.8536392308953,,
1998-07-04,5,58.64,-50.42,30.0,4.8,11.31,2.84,0.79,,0.014898,2.74,2,183.917304336153,1998-07-02,7,5.989990234375,,,19.415996551513672,2.0,2.0,2.0,17.92970129706141,300.8043628872058,,
1998-07-04,5,58.64,-50.42,10.0,5.2,9.15,1.21,0.68,,0.02085675,3.32,2,159.181080465557,1998-07-02,7,5.989990234375,,,19.415996551513672,2.0,2.0,2.0,17.92970129706141,300.8043628872058,,
1998-07-09,5,52.61,-55.2,50.0,-1.4,,,,,0.0153075,2.44,1,159.398987424465,1998-07-07,7,7.1300048828125,,,55.891998291015625,1.0,1.0,2.0,16.424022885041847,945.2955094806613,,
1998-07-09,5,52.61,-55.2,10.0,3.4,,,,,0.007839,2.13,1,271.718331419824,1998-07-07,7,7.1300048828125,,,55.891998291015625,1.0,1.0,2.0,16.424022885041847,945.2955094806613,,
1998-07-10,5,47.88,-59.53,40.0,3.3,,,,0.4804490804672241,0.009137,2.77,15,303.162963773668,1998-07-08,7,12.07000732421875,0.06154116243124008,74.74671940328683,62.93600082397461,15.0,2.0,1.0,15.65342906863001,1116.8302085412715,95.25936063752866,0.8428273227468938
1998-07-10,5,47.88,-59.53,10.0,12.2,,,,0.4804490804672241,0.1127125,4.19,15,37.174226461129,1998-07-08,7,12.07000732421875,0.06154116243124008,74.74671940328683,62.93600082397461,15.0,2.0,1.0,15.65342906863001,1116.8302085412715,603.5555945590287,4.189999999999935
1998-04-23,5,46.102,-59.409,18.0,0.4,0.2,0.3705,0.4265,,0.01502475,1.5,15,99.8352718015275,1998-04-21,4,0.209991455078125,,,46.96799850463867,15.0,2.0,1.0,13.587167191805552,960.2197475833661,,
1998-04-23,5,46.102,-59.409,4.0,0.4,0.0,0.1905,0.389,,0.010658,0.98,15,91.9497091386752,1998-04-21,4,0.209991455078125,,,46.96799850463867,15.0,2.0,1.0,13.587167191805552,960.2197475833661,,
1998-04-24,5,47.261,-59.334,34.0,0.2,1.8405,0.896,0.5915,,0.01707775,2.45,15,143.461521570464,1998-04-22,4,0.160003662109375,,,50.9119987487793,15.0,2.0,1.0,13.708114716505692,1031.6678965074989,,
1998-04-24,5,47.261,-59.334,5.0,0.5,0.085,0.3775,0.4155,,0.01873425,2.4,15,128.10761039273,1998-04-22,4,0.160003662109375,,,50.9119987487793,15.0,2.0,1.0,13.708114716505692,1031.6678965074989,,
1998-04-25,5,45.495,-59.51,34.0,0.2,0.352,0.131,0.4855,,0.0144365,1.23,15,85.2007065424445,1998-04-23,4,1.420013427734375,,,40.74800109863281,15.0,2.0,1.0,13.654868712746541,828.9269880345842,,
1998-04-25,5,45.495,-59.51,4.0,0.9,0.0435,0.0505,0.367,,0.015433,1.49,15,96.5463616924771,1998-04-23,4,1.420013427734375,,,40.74800109863281,15.0,2.0,1.0,13.654868712746541,828.9269880345842,,
1998-04-28,5,43.536,-62.488,28.0,2.5,0.7375,0.534,0.5595,0.48366865515708923,0.03024325,4.66,15,154.083969150141,1998-04-26,4,3.19000244140625,0.06495588272809982,70.8172963987763,54.98999786376953,15.0,2.0,1.0,13.683331864108556,1116.321635571015,181.09641861249813,3.8490060739326526
