,sst,chl,kd_490,par,Zeu,ID,lat,lon,depth,temp,NO3,Si4,PO4,alpha,PBmax,Ek,month,longhurst,basin,biome,daylength,E_surf,Ez,PB,date
0,6.028568812779018,0.9732866287231445,0.10411947965621948,33.87384502704327,44.23133193568245,5,57.28,-50.9,3.0,6.1,,,,0.009219,1.785,193.621867881549,7,2.0,2.0,2.0,17.504419922425633,,,,1998-07-04
1,6.296430315290179,,,32.227690770075874,,5,56.17,-52.98,3.0,8.2,,,,0.01367425,2.42,176.974971205002,7,2.0,2.0,2.0,17.178200603730108,608.6848603993349,,,1998-07-06
2,,,,41.00916544596354,,5,44.83,-63.27,40.0,1.1,0.64,0.28,0.53,0.011834,1.24,104.782829136387,6,15.0,2.0,1.0,15.40404828735563,,,,1998-06-24
3,,,,41.00916544596354,,5,44.83,-63.27,10.0,11.5,0.36,0.24,0.32,0.01930725,5.0,258.970076007717,6,15.0,2.0,1.0,15.40404828735563,,,,1998-06-24
4,9.323569161551339,0.29279386401176455,0.049681969732046125,51.065713337489534,93.55012221133184,5,49.85,-58.71,50.0,-0.7,5.34,2.26,0.9,0.0462255,1.17,25.3107051302852,6,15.0,2.0,1.0,16.120232814266856,1050.267447285201,,,1998-06-25
5,9.323569161551339,0.29279386401176455,0.049681969732046125,51.065713337489534,93.55012221133184,5,49.85,-58.71,10.0,9.5,0.33,0.24,0.37,0.0492045,7.18,145.921612860612,6,15.0,2.0,1.0,16.120232814266856,1050.267447285201,,,1998-06-25
6,3.417140415736607,,,38.476141520908904,,5,55.11,-54.13,30.0,3.3,,,,0.02107775,2.74,129.994899835134,6,2.0,2.0,2.0,17.105944842582762,420.0943520245463,,,1998-06-27
7,3.417140415736607,,,38.476141520908904,,5,55.11,-54.13,10.0,4.4,,,,0.01136325,3.3,290.409873935714,6,2.0,2.0,2.0,17.105944842582762,420.0943520245463,,,1998-06-27
8,5.379998343331473,,,33.96157019478934,,5,55.61,-53.63,20.0,6.2,0.29,0.82,0.18,0.0228615,2.76,120.726986418214,6,2.0,2.0,2.0,17.20939145694041,334.89461805151046,,,1998-06-28
9,5.379998343331473,,,33.96157019478934,,5,55.61,-53.63,10.0,6.5,0.0,0.63,0.14,0.0218385,5.9,270.165075440163,6,2.0,2.0,2.0,17.20939145694041,334.89461805151046,,,1998-06-28
10,5.869284493582589,1.283726453781128,0.11863808333873749,31.760426657540457,38.77338431763096,5,56.78,-52.89,30.0,6.1,2.61,0.57,0.26,0.00970225,2.165,223.144116055554,6,2.0,2.0,2.0,17.46389437503178,536.8536392308953,,,1998-06-30
11,5.869284493582589,1.283726453781128,0.11863808333873749,31.760426657540457,38.77338431763096,5,56.78,-52.89,10.0,6.3,2.61,0.46,0.25,0.00871525,1.99,228.335389116778,6,2.0,2.0,2.0,17.46389437503178,536.8536392308953,,,1998-06-30
12,5.523563929966518,,,25.657426561628068,,5,58.64,-50.42,30.0,4.8,11.31,2.84,0.79,0.014898,2.74,183.917304336153,7,2.0,2.0,2.0,17.92970129706141,300.8043628872058,,,1998-07-02
13,5.523563929966518,,,25.657426561628068,,5,58.64,-50.42,10.0,5.2,9.15,1.21,0.68,0.02085675,3.32,159.181080465557,7,2.0,2.0,2.0,17.92970129706141,300.8043628872058,,,1998-07-02
