,sst,chl,kd_490,par,Zeu
0,25.0,2.0,2.0,24.0,2.0
1,25.0,1.0,1.0,24.0,1.0
2,0.0,0.0,0.0,21.0,0.0
3,0.0,0.0,0.0,21.0,0.0
4,25.0,10.0,10.0,24.0,10.0
5,25.0,10.0,10.0,24.0,10.0
6,25.0,2.0,2.0,24.0,2.0
7,25.0,2.0,2.0,24.0,2.0
8,25.0,1.0,1.0,24.0,1.0
9,25.0,1.0,1.0,24.0,1.0
10,25.0,1.0,1.0,25.0,1.0
11,25.0,1.0,1.0,25.0,1.0
12,25.0,0.0,0.0,25.0,0.0
13,25.0,0.0,0.0,25.0,0.0
14,25.0,6.0,6.0,24.0,6.0
15,25.0,6.0,6.0,24.0,6.0
16,25.0,9.0,9.0,23.0,9.0
17,25.0,9.0,9.0,23.0,9.0
18,25.0,3.0,3.0,22.0,3.0
19,25.0,3.0,3.0,22.0,3.0
20,25.0,4.0,4.0,22.0,4.0
21,25.0,4.0,4.0,22.0,4.0
22,25.0,5.0,5.0,22.0,5.0
23,25.0,5.0,5.0,22.0,5.0
24,25.0,9.0,9.0,22.0,9.0
25,25.0,9.0,9.0,22.0,9.0
26,25.0,6.0,6.0,22.0,6.0
27,25.0,6.0,6.0,22.0,6.0
28,25.0,7.0,7.0,21.0,7.0
29,25.0,7.0,7.0,21.0,7.0
30,25.0,6.0,6.0,22.0,6.0
31,25.0,6.0,6.0,22.0,6.0
32,25.0,9.0,9.0,20.0,9.0
33,25.0,9.0,9.0,20.0,9.0
34,25.0,5.0,5.0,21.0,5.0
35,25.0,5.0,5.0,21.0,5.0
36,25.0,8.0,8.0,21.0,8.0
37,25.0,8.0,8.0,21.0,8.0
38,25.0,10.0,10.0,20.0,10.0
39,25.0,10.0,10.0,20.0,10.0
40,25.0,5.0,5.0,19.0,5.0
41,25.0,5.0,5.0,19.0,5.0
42,25.0,5.0,5.0,21.0,5.0
43,25.0,5.0,5.0,21.0,5.0
44,25.0,5.0,5.0,21.0,5.0
45,25.0,5.0,5.0,21.0,5.0
46,25.0,17.0,17.0,20.0,17.0
47,25.0,17.0,17.0,20.0,17.0
48,25.0,18.0,18.0,19.0,18.0
49,25.0,18.0,18.0,19.0,18.0
50,25.0,16.0,16.0,20.0,16.0
51,25.0,16.0,16.0,20.0,16.0
52,25.0,14.0,14.0,21.0,14.0
53,25.0,5.0,5.0,21.0,5.0
54,25.0,5.0,5.0,21.0,5.0
55,25.0,9.0,9.0,23.0,9.0
56,25.0,9.0,9.0,23.0,9.0
57,25.0,11.0,11.0,21.0,11.0
58,25.0,11.0,11.0,21.0,11.0
59,25.0,9.0,9.0,22.0,9.0
60,25.0,9.0,9.0,22.0,9.0
61,25.0,6.0,6.0,23.0,6.0
62,25.0,6.0,6.0,23.0,6.0
63,25.0,5.0,5.0,23.0,5.0
64,25.0,5.0,5.0,23.0,5.0
65,25.0,6.0,6.0,23.0,6.0
66,25.0,6.0,6.0,23.0,6.0
67,25.0,9.0,9.0,22.0,9.0
68,25.0,9.0,9.0,22.0,9.0
69,25.0,7.0,7.0,20.0,7.0
70,25.0,7.0,7.0,20.0,7.0
71,25.0,9.0,9.0,20.0,9.0
72,25.0,8.0,8.0,20.0,8.0
73,25.0,6.0,6.0,20.0,6.0
74,25.0,6.0,6.0,20.0,6.0
75,25.0,9.0,9.0,21.0,9.0
76,25.0,10.0,10.0,20.0,10.0
77,25.0,10.0,10.0,20.0,10.0
78,25.0,8.0,8.0,21.0,8.0
79,25.0,9.0,9.0,21.0,9.0
80,25.0,9.0,9.0,21.0,9.0
81,25.0,13.0,13.0,17.0,13.0
82,25.0,13.0,13.0,17.0,13.0
83,25.0,15.0,15.0,18.0,15.0
84,25.0,15.0,15.0,18.0,15.0
85,25.0,13.0,13.0,17.0,13.0
86,25.0,13.0,13.0,17.0,13.0
87,25.0,8.0,8.0,16.0,8.0
88,25.0,8.0,8.0,16.0,8.0
89,25.0,14.0,14.0,16.0,14.0
90,25.0,14.0,14.0,16.0,14.0
91,25.0,13.0,13.0,16.0,13.0
92,25.0,13.0,13.0,16.0,13.0
93,25.0,11.0,11.0,18.0,11.0
94,25.0,11.0,11.0,18.0,11.0
95,25.0,11.0,11.0,18.0,11.0
96,25.0,11.0,11.0,18.0,11.0
97,25.0,9.0,9.0,17.0,9.0
98,25.0,9.0,9.0,17.0,9.0
99,25.0,10.0,10.0,17.0,10.0
100,25.0,10.0,10.0,18.0,10.0
101,25.0,11.0,11.0,20.0,11.0
102,25.0,5.0,5.0,20.0,5.0
103,25.0,5.0,5.0,20.0,5.0
104,25.0,11.0,11.0,20.0,11.0
105,25.0,11.0,11.0,20.0,11.0
106,25.0,6.0,6.0,20.0,6.0
107,25.0,5.0,5.0,21.0,5.0
108,25.0,6.0,6.0,21.0,6.0
109,25.0,2.0,2.0,17.0,2.0
110,25.0,8.0,8.0,19.0,8.0
111,25.0,3.0,3.0,24.0,3.0
112,25.0,2.0,2.0,24.0,2.0
113,25.0,11.0,11.0,21.0,11.0
114,25.0,11.0,11.0,21.0,11.0
115,25.0,11.0,11.0,21.0,11.0
116,25.0,7.0,7.0,24.0,7.0
117,25.0,7.0,7.0,24.0,7.0
118,25.0,7.0,7.0,24.0,7.0
119,25.0,9.0,9.0,24.0,9.0
120,25.0,9.0,9.0,24.0,9.0
121,25.0,9.0,9.0,24.0,9.0
122,25.0,7.0,7.0,24.0,7.0
123,25.0,7.0,7.0,24.0,7.0
124,25.0,7.0,7.0,24.0,7.0
125,25.0,8.0,8.0,24.0,8.0
126,25.0,8.0,8.0,24.0,8.0
127,25.0,8.0,8.0,24.0,8.0
128,25.0,8.0,8.0,24.0,8.0
129,25.0,8.0,8.0,24.0,8.0
130,25.0,8.0,8.0,24.0,8.0
131,25.0,2.0,2.0,24.0,2.0
132,25.0,2.0,2.0,24.0,2.0
133,25.0,2.0,2.0,24.0,2.0
134,25.0,2.0,2.0,24.0,2.0
135,25.0,2.0,2.0,24.0,2.0
136,25.0,2.0,2.0,24.0,2.0
137,25.0,2.0,2.0,24.0,2.0
138,25.0,2.0,2.0,24.0,2.0
139,25.0,2.0,2.0,24.0,2.0
140,25.0,2.0,2.0,24.0,2.0
141,25.0,2.0,2.0,24.0,2.0
142,25.0,2.0,2.0,24.0,2.0
143,25.0,3.0,3.0,24.0,3.0
144,25.0,3.0,3.0,24.0,3.0
145,25.0,3.0,3.0,24.0,3.0
146,25.0,7.0,7.0,24.0,7.0
147,25.0,7.0,7.0,24.0,7.0
148,25.0,8.0,8.0,24.0,8.0
149,25.0,8.0,8.0,24.0,8.0
