,sst,chl,kd_490,par,Zeu
0,13.0,2.0,2.0,12.0,2.0
1,13.0,0.0,0.0,12.0,0.0
2,0.0,0.0,0.0,11.0,0.0
3,0.0,0.0,0.0,11.0,0.0
4,13.0,4.0,4.0,13.0,4.0
5,13.0,4.0,4.0,13.0,4.0
6,13.0,0.0,0.0,13.0,0.0
7,13.0,0.0,0.0,13.0,0.0
8,13.0,0.0,0.0,13.0,0.0
9,13.0,0.0,0.0,13.0,0.0
10,13.0,0.0,0.0,13.0,0.0
11,13.0,0.0,0.0,13.0,0.0
12,13.0,0.0,0.0,13.0,0.0
13,13.0,0.0,0.0,13.0,0.0
14,13.0,3.0,3.0,12.0,3.0
15,13.0,3.0,3.0,12.0,3.0
16,13.0,4.0,4.0,11.0,4.0
17,13.0,4.0,4.0,11.0,4.0
18,13.0,3.0,3.0,12.0,3.0
19,13.0,3.0,3.0,12.0,3.0
20,13.0,3.0,3.0,12.0,3.0
21,13.0,3.0,3.0,12.0,3.0
22,13.0,3.0,3.0,12.0,3.0
23,13.0,3.0,3.0,12.0,3.0
24,13.0,6.0,6.0,11.0,6.0
25,13.0,6.0,6.0,11.0,6.0
26,13.0,3.0,3.0,11.0,3.0
27,13.0,3.0,3.0,11.0,3.0
28,13.0,4.0,4.0,10.0,4.0
29,13.0,4.0,4.0,10.0,4.0
30,13.0,3.0,3.0,11.0,3.0
31,13.0,3.0,3.0,11.0,3.0
32,13.0,6.0,6.0,10.0,6.0
33,13.0,6.0,6.0,10.0,6.0
34,13.0,2.0,2.0,11.0,2.0
35,13.0,2.0,2.0,11.0,2.0
36,13.0,4.0,4.0,11.0,4.0
37,13.0,4.0,4.0,11.0,4.0
38,13.0,5.0,5.0,10.0,5.0
39,13.0,5.0,5.0,10.0,5.0
40,13.0,3.0,3.0,11.0,3.0
41,13.0,3.0,3.0,11.0,3.0
42,13.0,4.0,4.0,11.0,4.0
43,13.0,4.0,4.0,11.0,4.0
44,13.0,4.0,4.0,12.0,4.0
45,13.0,4.0,4.0,12.0,4.0
46,13.0,7.0,7.0,10.0,7.0
47,13.0,7.0,7.0,10.0,7.0
48,13.0,9.0,9.0,11.0,9.0
49,13.0,9.0,9.0,11.0,9.0
50,13.0,7.0,7.0,11.0,7.0
51,13.0,7.0,7.0,11.0,7.0
52,13.0,7.0,7.0,11.0,7.0
53,13.0,3.0,3.0,12.0,3.0
54,13.0,3.0,3.0,12.0,3.0
55,13.0,4.0,4.0,12.0,4.0
56,13.0,4.0,4.0,12.0,4.0
57,13.0,6.0,6.0,11.0,6.0
58,13.0,6.0,6.0,11.0,6.0
59,13.0,6.0,6.0,11.0,6.0
60,13.0,6.0,6.0,11.0,6.0
61,13.0,3.0,3.0,12.0,3.0
62,13.0,3.0,3.0,12.0,3.0
63,13.0,3.0,3.0,11.0,3.0
64,13.0,3.0,3.0,11.0,3.0
65,13.0,1.0,1.0,12.0,1.0
66,13.0,1.0,1.0,12.0,1.0
67,13.0,2.0,2.0,11.0,2.0
68,13.0,2.0,2.0,11.0,2.0
69,13.0,1.0,1.0,10.0,1.0
70,13.0,1.0,1.0,10.0,1.0
71,13.0,2.0,2.0,10.0,2.0
72,13.0,2.0,2.0,10.0,2.0
73,13.0,1.0,1.0,11.0,1.0
74,13.0,1.0,1.0,11.0,1.0
75,13.0,3.0,3.0,10.0,3.0
76,13.0,2.0,2.0,11.0,2.0
77,13.0,2.0,2.0,11.0,2.0
78,13.0,2.0,2.0,12.0,2.0
79,13.0,3.0,3.0,12.0,3.0
80,13.0,3.0,3.0,12.0,3.0
81,13.0,4.0,4.0,9.0,4.0
82,13.0,4.0,4.0,9.0,4.0
83,13.0,8.0,8.0,9.0,8.0
84,13.0,8.0,8.0,9.0,8.0
85,13.0,6.0,6.0,9.0,6.0
86,13.0,6.0,6.0,9.0,6.0
87,13.0,5.0,5.0,8.0,5.0
88,13.0,5.0,5.0,8.0,5.0
89,13.0,7.0,7.0,9.0,7.0
90,13.0,7.0,7.0,9.0,7.0
91,13.0,6.0,6.0,9.0,6.0
92,13.0,6.0,6.0,9.0,6.0
93,13.0,7.0,7.0,9.0,7.0
94,13.0,7.0,7.0,9.0,7.0
95,13.0,6.0,6.0,9.0,6.0
96,13.0,6.0,6.0,9.0,6.0
97,13.0,5.0,5.0,9.0,5.0
98,13.0,5.0,5.0,9.0,5.0
99,13.0,2.0,2.0,9.0,2.0
100,13.0,4.0,4.0,10.0,4.0
101,13.0,5.0,5.0,9.0,5.0
102,13.0,3.0,3.0,9.0,3.0
103,13.0,3.0,3.0,9.0,3.0
104,13.0,7.0,7.0,10.0,7.0
105,13.0,7.0,7.0,10.0,7.0
106,13.0,2.0,2.0,10.0,2.0
107,13.0,3.0,3.0,12.0,3.0
108,13.0,3.0,3.0,11.0,3.0
109,13.0,1.0,1.0,10.0,1.0
110,13.0,3.0,3.0,10.0,3.0
111,13.0,2.0,2.0,13.0,2.0
112,13.0,0.0,0.0,13.0,0.0
113,13.0,5.0,5.0,11.0,5.0
114,13.0,5.0,5.0,11.0,5.0
115,13.0,5.0,5.0,11.0,5.0
116,13.0,3.0,3.0,12.0,3.0
117,13.0,3.0,3.0,12.0,3.0
118,13.0,3.0,3.0,12.0,3.0
119,13.0,6.0,6.0,13.0,6.0
120,13.0,6.0,6.0,13.0,6.0
121,13.0,6.0,6.0,13.0,6.0
122,13.0,4.0,4.0,13.0,4.0
123,13.0,4.0,4.0,13.0,4.0
124,13.0,4.0,4.0,13.0,4.0
125,13.0,5.0,5.0,13.0,5.0
126,13.0,5.0,5.0,13.0,5.0
127,13.0,5.0,5.0,13.0,5.0
128,13.0,4.0,4.0,13.0,4.0
129,13.0,4.0,4.0,13.0,4.0
130,13.0,4.0,4.0,13.0,4.0
131,13.0,1.0,1.0,13.0,1.0
132,13.0,1.0,1.0,13.0,1.0
133,13.0,1.0,1.0,13.0,1.0
134,13.0,1.0,1.0,13.0,1.0
135,13.0,1.0,1.0,13.0,1.0
136,13.0,1.0,1.0,13.0,1.0
137,13.0,0.0,0.0,13.0,0.0
138,13.0,0.0,0.0,13.0,0.0
139,13.0,0.0,0.0,13.0,0.0
140,13.0,0.0,0.0,13.0,0.0
141,13.0,0.0,0.0,13.0,0.0
142,13.0,0.0,0.0,13.0,0.0
143,13.0,1.0,1.0,13.0,1.0
144,13.0,1.0,1.0,13.0,1.0
145,13.0,1.0,1.0,13.0,1.0
146,13.0,3.0,3.0,13.0,3.0
147,13.0,3.0,3.0,13.0,3.0
148,13.0,1.0,1.0,13.0,1.0
149,13.0,1.0,1.0,13.0,1.0
150,13.0,1.0,1.0,13.0,1.0
151,13.0,3.0,3.0,13.0,3.0
152,13.0,3.0,3.0,13.0,3.0
153,13.0,3.0,3.0,13.0,3.0
154,13.0,8.0,8.0,11.0,8.0
155,13.0,0.0,0.0,12.0,0.0
156,13.0,6.0,6.0,11.0,6.0
157,13.0,6.0,6.0,11.0,6.0
158,13.0,6.0,6.0,11.0,6.0
